3000	1	0.5959	0.2318
3050	1	0.6072	0.2411
3100	1	0.6138	0.2505
3150	1	0.624	0.2621
3200	1	0.6326	0.2713
3250	1	0.6415	0.2818
3300	1	0.6477	0.2907
3350	1	0.6582	0.303
3400	1	0.6685	0.3151
3450	1	0.6758	0.3257
3500	1	0.6834	0.3349
3550	1	0.6917	0.3453
3600	1	0.6978	0.3568
3650	1	0.7082	0.3678
3700	1	0.7115	0.3774
3750	1	0.7199	0.3901
3800	1	0.7282	0.4014
3850	1	0.734	0.4117
3900	1	0.7399	0.4229
3950	1	0.7479	0.4344
4000	1	0.7531	0.4468
4050	1	0.7482	0.4495
4100	1	0.768	0.4707
4150	1	0.7762	0.4829
4200	1	0.7805	0.4935
4250	1	0.774	0.4999
4300	1	0.7901	0.5148
4350	1	0.7957	0.5261
4400	1	0.8037	0.5403
4450	1	0.806	0.5493
4500	1	0.8154	0.5595
4550	1	0.8176	0.5713
4600	1	0.8247	0.5827
4650	1	0.8305	0.5951
4700	1	0.8333	0.605
4750	1	0.8385	0.6173
4800	1	0.8424	0.6275
4850	1	0.8474	0.6408
4900	1	0.8531	0.6515
4950	1	0.8578	0.664
5000	1	0.8609	0.6744
5050	1	0.8662	0.6843
5100	1	0.8703	0.6971
5150	1	0.8737	0.7057
5200	1	0.8772	0.7161
5250	1	0.8827	0.7307
5300	1	0.8856	0.7392
5350	1	0.8914	0.7496
5400	1	0.8924	0.7603
5450	1	0.8979	0.7722
5500	1	0.9003	0.7841
5550	1	0.9031	0.7905
5600	1	0.9056	0.8021
5650	1	0.9079	0.8118
5700	1	0.9132	0.8216
5750	1	0.9142	0.8317
5800	1	0.9171	0.8443
5850	1	0.9248	0.8533
5900	1	0.9248	0.863
5950	1	0.9328	0.8753
6000	1	0.9329	0.8846
6050	1	0.9331	0.8941
6100	1	0.9285	0.8942
6150	1	0.9419	0.9138
6200	1	0.9464	0.9247
6250	1	0.9454	0.9327
6300	1	0.9483	0.9414
6350	1	0.9514	0.9528
6400	1	0.9527	0.9611
6450	1	0.9537	0.9713
6500	1	0.9594	0.9834
6550	1	0.9606	0.9918
6600	1	0.9613	1
6650	1	0.9564	1
6700	0.982	0.9514	1
6750	0.9711	0.9436	1
6800	0.9616	0.939	1
6850	0.9536	0.9342	1
6900	0.9504	0.9277	1
6950	0.9394	0.9218	1
7000	0.9309	0.9151	1
7050	0.9217	0.9115	1
7100	0.9171	0.9043	1
7150	0.9106	0.9016	1
7200	0.9045	0.896	1
7250	0.8974	0.8893	1
7300	0.8895	0.886	1
7350	0.8901	0.8803	1
7400	0.8764	0.8756	1
7450	0.8721	0.8728	1
7500	0.8663	0.8697	1
7550	0.8608	0.8643	1
7600	0.8542	0.8596	1
7650	0.8515	0.8568	1
7700	0.8435	0.8539	1
7750	0.8382	0.8472	1
7800	0.8342	0.8439	1
7850	0.8288	0.8397	1
7900	0.8207	0.8359	1
7950	0.8186	0.8319	1
8000	0.8112	0.8275	1
